Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Lycalopex culpaeus,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,1,8.62,2,1,365,4.88,NA,377.37,48.22,2809619.42,-26.69,-71.61,17.94,5.62,8.88
Prionailurus viverrinus,Negative,Negative,polygamous,no,45.07,5.08,67.31,2,8.83,1,1,NA,2,10.00,NA,135.96,3546617.17,10.29,95.38,246.55,16.05,23.40
Lutra lutra,Negative,Negative,NA,no,-56.5,-20.96,-0.31,1,8.87,1,2,365,2.01,22.00,700.76,100.8,25877469.45,27.69,72.5,102.46,5.66,5.03
Lutrogale perspicillata,Negative,Negative,monogamous,yes,-56.5,-20.96,-0.31,NA,8.91,2,2,NA,3.24,15.00,943.94,72.53,5506788.05,11.88,82.79,236.22,15.44,24.71
Mellivora capensis,Negative,Negative,polygamous,NA,-49.72,-15.28,-0.2,2,9.00,6,1,182.5,2.35,26.50,NA,23.86,27823522.11,4.13,35.1,54.67,6.61,23.66
Viverra zibetha,Negative,Negative,NA,no,59.01,-16.49,-24.37,1,9.15,6,1,182.5,2.89,20.00,NA,NA,4064204.47,16.64,103.93,189.5,14.94,18.79
Cryptoprocta ferox,Negative,Negative,NA,no,60.4,-17.54,-26.5,2,9.50,2,3,NA,2.98,20.00,1262.74,136.1,214312.12,-18.96,46.85,24.1,12.53,22.20
Lynx canadensis,Negative,Negative,polygamous,no,45.06,5.08,67.27,1,9.68,1,1,365,2.73,26.75,672.9,111.36,8252985.31,53.82,-107.79,3.31,4.35,-3.18
Lynx pardinus,Negative,Negative,polygamous,no,45.06,5.08,67.27,NA,11.05,1,1,NA,2.5,NA,NA,NA,27058.5,39.94,-2.91,36.98,4.84,13.37
Lontra felina,Negative,Negative,monogamous,no,-56.5,-20.96,-0.31,3,11.20,2,2,365,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Profelis aurata,Negative,Negative,monogamous,no,44.74,5,65.92,2,11.28,1,1,NA,2.25,NA,650.61,119.32,4948244.43,2.48,10.96,30.06,13.80,24.24
Leopardus pardalis,Negative,Negative,polygamous,no,45.08,5.08,67.34,2,11.88,1,1,360.9,1.66,20.30,678.64,106.18,16040024.42,-0.41,-74.28,26.95,13.77,22.87
Meles meles,Negative,Negative,polygamous,yes,-55.41,-20.04,-0.29,2,11.88,1,1,365,3.11,16.20,420.91,91.3,NA,NA,NA,NA,NA,NA
Caracal caracal,Negative,Negative,polygamous,no,44.74,5,65.92,1,11.96,1,1,365,2.3,17.00,437.27,120.41,26609096.78,5.5,31.75,39.44,4.00,22.16
Leptailurus serval,Negative,Negative,polygamous,no,44.74,5,65.89,2,12.00,1,1,182.5,2.35,23.00,887.95,104.68,12526196.74,1.48,15.05,36.32,8.91,23.56
