Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Suricata suricatta,Negative,Positive,monogamous,yes,62.23,-18.79,-28.92,3,0.73,1,1,365,3.86,12.50,377.37,55.68,1720747.74,-24.77,21.29,10.05,2.66,17.58
Paradoxurus zeylonensis,Negative,Positive,NA,no,59.2,-16.61,-24.6,1,2.82,6,1,NA,2.5,NA,NA,NA,5405.27,6.93,80.63,443.85,17.03,24.58
Atilax paludinosus,Negative,Positive,NA,NA,62.12,-18.71,-28.77,2,3.60,6,2,182.5,2,17.42,234.83,35.89,14296320.45,-8.88,12.52,37.15,9.99,23.34
Crocuta crocuta,Negative,Positive,polygamous,yes,58.63,-16.33,-24.16,1,63.37,1,1,441.04,1.91,41.10,789.54,371.37,14790149.69,-5.14,16.93,33.56,7.83,23.85
Galerella sanguinea,Positive,Positive,polygamous,no,62.16,-18.74,-28.82,3,0.54,6,1,182.5,2.5,6.00,465.57,54.44,16368169.48,-7.06,16.93,33.39,8.49,23.33
Spilogale putorius,Positive,Positive,NA,NA,-47.17,-12.92,-0.16,1,0.57,6,1,243.33,5.07,10.00,196.96,55.68,2957350.08,37.14,-92.13,32.08,7.25,13.42
Cynictis penicillata,Positive,Positive,NA,yes,62.19,-18.77,-28.87,3,0.69,1,1,365,2.15,15.20,350.57,41.76,2233627.48,-25.71,22.04,15.27,3.33,18.42
Herpestes javanicus,Positive,Positive,NA,yes,62.17,-18.75,-28.85,3,0.75,6,1,152.08,2.21,10.00,166.84,43.59,6880297.87,14.29,78.4,188.18,9.60,20.82
Melogale moschata,Positive,Positive,NA,NA,-55.87,-20.43,-0.3,2,0.94,6,1,NA,2,10.50,NA,NA,1476533.73,25.77,107.91,325.78,12.03,16.38
Mephitis mephitis,Positive,Positive,polygamous,no,-47.14,-12.9,-0.16,1,2.40,6,1,365,5.7,12.92,355.18,55.15,12277338.73,43.15,-94.89,28.88,5.27,7.60
Potos flavus,Positive,Positive,polygamous,yes,-49.51,-15.02,-0.2,1,2.44,4,2,365,1.11,29.00,858.41,109.13,12770952.51,0.3,-68.67,25.77,15.37,24.15
Vulpes corsac,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,1,2.62,6,1,365,5.62,NA,1024.89,54.56,6378396.4,41.96,92.4,22.43,1.94,3.78
Vulpes lagopus,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,2,3.58,1,1,365,7.65,15.00,293.89,49.5,16988732.37,65.45,0,2.84,3.00,-9.04
Urocyon cinereoargenteus,Positive,Positive,monogamous,yes,-6.75,83.15,-16.84,2,3.83,6,1,365,3.71,15.00,350.76,63.79,9010481.09,26.13,-94.96,52.72,7.00,14.84
Otocyon megalotis,Positive,Positive,monogamous,yes,-6.75,83.14,-16.83,2,4.10,1,1,182.5,4,13.80,420.91,42.46,5001822.67,-12.59,31.54,24.86,4.58,21.01
Nyctereutes procyonoides,Positive,Positive,polygamous,yes,-6.75,83.16,-16.84,1,4.21,6,1,365,6.36,14.00,326.63,49.69,6704451.99,38.26,109.24,186.51,7.01,5.67
Lycalopex vetulus,Positive,Positive,monogamous,no,-6.83,85.29,-17.38,NA,4.23,6,1,365,3,NA,NA,NA,1486644.88,-14.56,-45.67,18.02,11.25,23.01
Lycalopex sechurae,Positive,Positive,NA,NA,-6.83,85.29,-17.38,1,4.23,7,1,NA,NA,NA,NA,NA,75180.74,-8.14,-78.77,142.69,1.50,16.93
Nasua narica,Positive,Positive,NA,yes,-50.11,-15.44,-0.2,2,4.58,6,1,365,4,17.67,1009.04,132.63,2329129.95,21.26,-95.33,46.82,8.62,20.56
Vulpes vulpes,Positive,Positive,polygamous,no,-6.8,84.34,-17.14,1,4.82,1,1,365,4.59,15.00,321.07,50.71,63034304.34,43.1,0,66.44,4.66,3.43
Cerdocyon thous,Positive,Positive,monogamous,yes,-6.83,85.21,-17.36,1,5.74,7,1,243.33,3.09,11.50,279.15,72.33,7091683.41,-11.22,-55.68,35.64,11.87,23.00
Procyon lotor,Positive,Positive,polygamous,yes,-50.12,-15.44,-0.21,2,6.37,6,2,365,3.06,21.00,561.28,104.16,11703644.72,32.99,-94.43,38.77,6.33,11.18
Canis mesomelas,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,2,8.25,6,1,273.75,3.89,14.00,241.4,34.1,6248779.95,-9.18,31.56,30.81,4.93,21.33
Canis aureus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,9.66,6,1,365,3.74,16.00,371.23,61.3,25739527.43,21.14,45.74,79.29,4.46,21.72
Canis adustus,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,1,10.39,6,1,NA,4.5,11.42,249.88,52.89,10581413.14,-6,13,35.2,9.08,23.65
Canis latrans,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,11.99,1,1,365,5.72,21.83,372.9,43.71,17099094.3,39.7,-117.6,27.27,5.30,5.82
Canis lupus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,31.76,1,1,365,4.98,29.50,679.37,44.82,50803439.7,47.38,3.9,37.87,3.48,0.48
