Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.g,DietBreadth,HabitatBreadth,HomeRange.Indiv.km2,InterbirthInterval.d,LitterSize,MaxLongevity.m,PopulationDensity.n.km2,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.mm,Temp.Mean.01degC
Poiana leightoni,Negative,Negative,NA,NA,59.64,-16.90,-25.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188494.8,6.45,-8.1,40.05,200.92,249.65
Poiana richardsonii,Negative,Negative,NA,0,59.64,-16.90,-25.14,1,570.08,6,1,NA,NA,2.23,64,1,NA,NA,2191921.08,-0.38,19.4,19.35,149.74,242.97
Potos flavus,Negative,Negative,1,1,-49.51,-15.02,-0.20,1,2441.81,4,2,0.21,365,1.11,348,34.21,858.41,109.13,12770952.51,0.3,-68.67,25.77,153.67,241.49
Prionailurus bengalensis,Negative,Negative,1,0,45.07,5.08,67.32,1,2780.97,1,1,1.76,165.56,2.5,180,NA,855.31,24.85,10201747.8,20.75,103.04,219.36,125.74,169.1
Prionailurus iriomotensis,Negative,Negative,0,0,45.07,5.08,67.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.7,24.33,123.8,365,NA,NA
Prionailurus planiceps,Negative,Negative,NA,0,45.06,5.08,67.28,1,3533.76,2,1,NA,NA,NA,NA,NA,NA,NA,1100389.34,1.06,107.09,74.47,240.65,250.3
Prionailurus rubiginosus,Negative,Negative,0,0,45.06,5.08,67.28,1,1418.75,1,1,NA,NA,2.23,NA,NA,NA,NA,1372527.48,14.64,78.1,331.4,95.56,261.16
Prionailurus viverrinus,Negative,Negative,1,0,45.07,5.08,67.31,2,8826.46,1,1,NA,NA,2,120,NA,NA,135.96,3546617.17,10.29,95.38,246.55,160.45,233.96
Prionodon linsang,Negative,Negative,NA,0,31.92,1.68,10.47,1,684.83,6,1,NA,182.5,2.3,128.4,NA,NA,NA,1202013.54,3.95,107.22,172.11,236.46,249.83
Prionodon pardicolor,Negative,Negative,NA,0,31.92,1.68,10.47,1,1142.68,6,1,NA,182.5,2,NA,NA,NA,NA,1096040.96,21.41,97.91,112.92,142.71,182.62
Procyon cancrivorus,Negative,Negative,1,0,-50.12,-15.44,-0.21,1,6931.72,6,2,NA,NA,2.62,168,5.74,631.37,111.36,12829315.4,-11.16,-59.17,22.53,144.34,237.43
